"STATION","DIRECTION","DAYTYPE","ARRIVAL"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","00:11:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","00:23:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","00:35:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","00:47:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","00:59:08"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","01:09:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","01:25:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","01:41:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","01:57:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","02:13:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","02:29:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","02:45:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","03:01:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","03:17:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","03:33:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","03:49:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","04:05:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","04:21:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","04:37:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","04:53:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","05:09:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","05:25:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","05:41:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","05:57:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","06:13:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","06:29:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","06:45:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","07:01:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","07:17:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","07:33:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","07:51:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","08:07:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","08:19:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","08:31:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","08:43:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","08:55:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","09:07:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","09:19:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","09:31:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","09:43:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","09:55:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","10:07:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","10:19:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","10:31:11"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","10:43:08"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","10:53:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","11:11:08"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","11:25:36"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","11:41:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","11:57:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","12:13:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","12:29:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","12:45:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","13:01:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","13:17:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","13:33:26"
"BAYAMON","TO_BAYAMON","LOW_SEASON_WORKDAY","13:49:26"
